2023-Aug-04 from 21:00 to 21:59
21:00,21:01,21:02,21:03,21:04,21:05,21:06,21:07,21:08,21:09,21:10,21:11,21:12,21:13,21:14,21:15,21:16,21:17,21:18,21:19,21:20,21:21,21:22,21:23,21:24,21:25,21:26,21:27,21:28,21:29,21:30,21:31,21:32,21:33,21:34,21:35,21:36,21:37,21:38,21:39,21:40,21:41,21:42,21:43,21:44,21:45,21:46,21:47,21:48,21:49,21:50,21:51,21:52,21:53,21:54,21:55,21:56,21:57,21:58,21:59
430,429,429,430,430,429,429,429,429,428,429,429,429,430,430,430,430,430,429,430,429,430,429,429,430,429,429,429,429,430,429,429,429,429,429,429,429,430,429,429,429,430,429,429,430,430,428,428,429,429,429,429,429,430,429,429,429,429,429,429
429,428,429,429,429,430,429,430,430,429,429,428,429,430,430,429,429,429,429,429,429,429,428,429,429,429,429,429,429,429,429,430,429,429,430,429,429,430,431,430,430,429,429,429,429,430,429,430,430,430,429,430,429,430,429,430,429,430,430,430
430,430,429,429,429,428,428,429,429,429,429,430,429,429,429,430,430,428,429,429,429,428,430,429,429,430,428,429,430,429,429,429,428,429,429,429,430,430,429,430,430,429,429,429,429,429,430,430,431,429,429,429,430,429,430,430,429,430,429,429
429,430,428,428,429,428,428,430,429,429,429,430,429,429,429,429,429,430,430,430,429,430,430,430,429,430,429,430,430,430,428,429,429,430,430,430,429,429,430,429,429,429,429,429,429,429,429,430,430,430,430,430,430,428,429,428,429,429,430,429
429,428,429,430,429,429,429,430,430,430,429,429,429,429,429,429,428,428,429,429,429,430,430,430,430,429,429,428,429,428,429,428,429,429,430,430,429,430,429,429,429,429,429,429,429,429,430,430,430,429,429,428,430,430,430,429,428,429,429,429
429,430,429,429,428,429,429,428,429,428,429,429,429,429,429,429,429,429,429,429,430,429,429,428,429,429,428,429,429,429,429,428,429,429,428,430,429,429,429,429,430,430,429,429,429,429,429,429,430,430,430,430,429,430,428,428,428,428,429,429
429,428,429,428,429,430,429,428,429,430,430,428,429,429,428,429,429,429,429,430,429,429,429,430,430,430,429,429,430,429,429,429,429,430,430,429,430,428,429,429,428,429,428,429,428,429,430,429,429,429,429,430,429,429,430,429,429,429,429,429
430,430,429,429,429,428,430,429,428,429,429,429,430,430,430,430,429,429,429,429,429,430,430,428,428,429,430,430,428,428,430,429,429,429,428,429,428,429,428,429,429,429,428,429,428,429,429,429,429,429,429,429,429,429,428,429,430,429,428,428
429,429,429,428,429,429,429,429,429,430,429,429,429,430,430,430,429,429,428,429,428,428,429,428,429,430,430,429,430,429,428,429,428,428,429,429,430,429,431,429,429,429,429,429,429,429,430,429,429,429,429,429,430,429,429,429,429,428,430,429
429,428,428,429,428,428,428,429,428,428,429,429,429,429,429,429,428,429,428,429,429,429,429,428,428,429,430,429,430,429,429,429,429,429,428,429,428,429,428,428,428,429,429,428,428,429,429,429,429,429,429,428,429,429,429,429,429,428,429,429
430,428,429,428,429,430,428,429,429,429,430,429,429,430,429,429,429,429,428,429,430,430,429,429,430,430,430,429,429,430,430,429,430,430,430,430,429,428,429,430,430,430,429,429,429,429,429,429,430,429,429,430,431,430,430,430,429,430,429,431
430,430,431,429,429,429,428,429,430,429,429,430,429,429,430,429,429,428,428,429,429,429,430,430,429,429,430,429,430,430,430,429,428,428,430,429,428,429,429,429,430,430,429,428,429,428,429,429,429,429,429,429,430,429,429,429,429,429,429,430
429,429,430,429,430,430,430,428,429,429,428,429,430,429,429,430,429,429,429,429,429,429,430,430,429,431,430,430,429,428,429,429,429,429,430,429,429,429,429,428,429,428,429,429,429,429,429,429,430,429,429,428,429,430,430,430,430,430,430,428
429,430,429,429,429,430,429,430,430,429,429,429,429,429,428,429,429,429,429,428,430,428,430,429,429,430,429,430,430,428,430,429,429,429,430,429,430,429,430,430,430,429,430,430,429,429,428,429,429,429,430,429,429,429,429,429,429,429,429,430
430,429,430,429,428,429,428,429,429,429,428,430,429,430,429,429,429,429,429,429,429,429,430,429,429,428,429,429,430,430,430,429,428,429,430,430,429,430,430,431,429,429,428,429,429,429,429,429,429,431,429,428,429,428,429,429,429,429,429,429
429,429,429,429,430,429,429,429,430,429,431,429,430,429,429,429,429,429,428,429,429,430,429,429,430,430,429,429,428,428,429,429,430,428,430,429,430,428,428,428,429,429,429,429,429,429,429,429,429,428,429,429,429,429,428,429,429,429,428,429
429,429,429,429,430,429,429,429,429,429,429,429,429,430,430,429,429,429,430,429,429,429,428,428,429,429,430,429,430,429,430,429,429,430,429,430,429,429,430,430,429,429,429,428,429,429,429,429,429,429,430,429,428,430,430,429,429,429,429,429
429,429,429,430,429,428,428,429,429,428,428,429,429,429,429,430,429,429,429,429,430,429,429,428,429,429,429,429,430,430,429,429,429,428,429,428,428,429,429,429,429,430,429,430,429,429,429,429,430,429,430,431,430,429,430,429,430,429,429,428
430,429,429,428,428,429,429,429,430,429,429,429,429,429,429,429,429,430,428,428,430,429,429,428,428,428,429,429,429,430,428,429,430,430,429,430,429,430,430,430,431,429,430,428,429,429,429,430,430,429,429,431,429,430,430,429,429,429,428,430
429,430,429,429,429,429,429,430,430,431,429,429,428,428,428,429,430,430,428,429,430,429,430,430,429,430,429,428,429,429,428,430,430,429,429,430,429,429,429,429,430,430,428,430,429,430,430,430,430,429,429,430,430,430,430,429,430,429,430,428
428,429,429,429,429,430,429,430,429,428,429,429,429,429,429,430,429,430,431,429,429,429,428,429,429,428,429,428,431,429,429,429,430,429,430,430,428,429,429,430,430,429,428,429,429,429,429,429,429,429,429,429,430,430,430,430,429,428,430,430
430,430,429,429,429,430,430,429,428,428,429,429,429,429,429,429,429,429,428,429,430,428,429,429,429,430,429,429,429,428,429,429,428,430,429,429,430,430,429,429,429,429,429,429,429,429,430,429,429,430,429,428,429,428,429,430,430,430,429,429
429,429,430,430,430,430,430,429,430,429,429,429,429,429,429,430,429,429,428,430,428,430,430,430,429,431,430,430,429,429,429,429,429,429,430,430,430,428,428,429,428,428,429,429,429,430,430,429,430,429,429,429,428,429,430,428,428,429,429,429
430,430,429,428,428,429,429,429,429,430,429,430,429,429,429,430,429,428,429,429,429,429,428,429,430,430,429,430,431,430,430,429,429,430,429,428,428,428,429,429,430,429,429,430,428,430,429,429,429,428,429,430,429,429,429,429,430,430,428,428
429,429,429,428,429,430,429,428,429,429,428,429,429,429,429,430,430,430,429,429,430,430,430,430,430,430,429,428,429,429,429,429,429,428,429,429,430,429,430,429,429,429,429,429,429,429,430,430,430,430,430,429,430,429,430,429,428,429,429,429
430,429,428,429,429,428,428,429,428,429,428,429,429,430,428,429,428,428,429,430,430,429,429,428,429,430,430,429,429,429,429,430,429,430,430,429,430,429,429,430,429,429,428,430,429,429,429,429,429,429,430,430,429,430,430,428,428,428,429,430
429,429,430,429,428,429,430,429,428,429,429,430,429,429,429,430,430,429,429,430,429,429,429,429,429,429,430,428,428,429,429,430,430,429,430,429,429,429,430,429,429,429,430,428,428,430,430,428,428,430,431,430,429,429,429,430,429,429,429,430
430,429,430,428,429,429,429,430,429,429,430,431,430,428,430,430,428,429,429,429,429,429,428,429,429,429,429,429,429,429,429,429,428,429,430,429,430,429,429,430,430,430,430,430,430,430,429,430,430,429,430,429,429,428,429,429,430,429,429,428
429,430,429,429,429,429,429,429,429,429,429,430,430,429,429,429,430,430,428,430,428,429,430,430,429,429,429,429,430,430,428,429,429,428,428,429,429,429,429,429,430,429,429,430,430,428,428,429,429,429,428,430,429,429,430,430,430,428,429,429
430,429,430,429,429,428,429,429,429,429,429,430,429,429,429,430,430,429,430,429,430,428,429,428,430,429,429,429,429,430,428,428,429,429,429,430,429,429,430,430,430,430,430,429,430,429,430,429,428,429,428,429,429,430,429,429,429,429,430,430
430,429,429,429,429,430,429,429,429,429,428,428,428,428,429,429,429,428,428,429,429,429,429,430,429,429,430,430,428,430,430,430,429,429,428,429,429,429,429,429,429,429,430,429,429,429,429,430,429,429,429,431,430,428,430,429,431,429,429,430
430,429,429,429,429,429,429,430,429,428,430,429,429,429,430,430,429,429,429,429,429,429,428,429,430,429,429,429,430,428,428,429,429,429,429,430,430,430,429,430,429,429,430,429,430,429,429,428,428,430,429,430,430,429,429,429,429,430,428,430
429,428,429,429,430,429,429,428,429,428,430,429,430,430,429,429,428,430,430,430,429,429,430,429,429,429,429,429,428,428,428,429,429,429,429,428,429,429,429,430,428,428,430,430,429,429,429,428,428,429,429,430,428,428,429,429,428,429,429,429
429,429,429,429,429,429,430,429,428,429,428,429,429,429,429,430,428,429,429,429,430,429,428,429,429,428,428,428,429,429,429,430,429,430,430,429,428,429,430,429,429,429,429,429,429,428,430,429,430,430,429,428,429,429,428,429,428,429,429,428
429,428,430,428,429,430,429,429,428,429,428,428,429,429,428,429,429,429,428,429,428,429,428,428,429,429,429,429,429,430,428,429,429,430,429,430,429,428,429,428,428,429,429,429,429,429,429,429,429,429,429,429,430,428,429,429,430,429,429,430
428,429,430,429,428,429,428,429,429,429,428,429,429,429,429,428,429,428,429,429,428,429,429,430,429,429,429,429,428,428,429,429,429,429,429,429,429,430,428,429,429,428,430,429,429,429,428,429,429,429,429,429,429,429,429,429,429,429,429,429
429,430,429,429,429,430,428,430,428,430,429,430,429,430,429,429,429,429,429,429,429,429,429,429,429,428,430,429,428,430,429,428,429,429,429,428,429,429,430,429,429,429,430,428,428,429,429,429,429,430,428,428,430,429,430,429,428,430,428,429
429,428,429,429,429,430,429,429,429,428,429,430,429,429,429,429,429,429,429,430,429,429,429,429,429,429,429,428,430,429,429,430,428,430,429,429,429,430,428,430,428,429,429,428,430,429,430,428,430,428,430,429,428,429,429,428,430,430,429,429
428,429,430,428,428,430,428,429,429,428,429,429,429,429,429,429,429,429,430,429,429,430,429,429,429,429,428,429,429,429,429,429,428,429,428,430,429,429,428,430,429,430,430,428,429,429,430,429,429,429,428,429,429,429,429,429,429,429,429,429
428,429,429,429,429,429,429,429,429,429,428,428,428,429,429,429,431,429,430,430,429,430,429,428,430,429,429,428,430,429,428,429,430,430,428,429,429,430,429,428,429,428,429,428,428,429,428,429,429,430,430,429,430,428,430,430,428,429,429,430
428,429,429,428,430,428,428,429,428,429,429,428,428,430,428,428,429,430,429,429,429,430,428,428,430,428,429,428,429,429,429,429,429,428,429,428,429,429,429,429,428,429,429,429,428,429,429,430,429,430,430,430,429,430,429,430,430,430,429,429
429,429,430,428,429,430,429,429,430,429,428,430,429,430,430,428,428,429,429,429,429,430,428,429,429,429,429,429,429,430,430,430,429,429,429,429,429,429,429,429,429,429,429,428,430,428,428,430,429,428,428,429,429,428,429,429,429,429,429,430
428,430,428,430,429,429,429,428,429,430,429,429,429,430,429,430,430,428,430,428,430,429,429,429,429,428,430,429,429,428,430,430,430,429,429,430,430,429,428,428,428,429,429,429,429,429,430,429,429,430,430,429,429,428,429,430,429,428,429,429
430,429,429,429,428,429,429,428,429,428,429,428,429,429,430,428,429,429,428,429,429,430,428,430,428,429,428,429,428,429,430,429,429,429,428,428,430,429,428,429,428,428,429,429,429,429,429,429,429,428,430,429,429,428,429,428,429,429,428,429
429,429,429,429,429,429,428,429,429,429,429,429,428,429,430,429,429,429,429,429,429,429,429,429,430,428,429,428,430,428,430,428,428,429,428,429,429,429,429,428,429,428,429,429,429,428,429,428,430,429,428,429,428,429,428,430,428,429,429,430
429,429,428,429,428,429,430,429,429,428,429,428,429,429,428,429,429,429,430,429,428,430,429,428,428,429,429,430,429,429,429,430,428,429,429,429,428,429,429,430,429,430,428,429,428,428,429,428,429,429,429,429,429,429,428,429,429,430,428,429
428,430,429,430,429,429,429,429,428,429,429,429,430,430,428,428,428,429,428,429,429,429,429,428,429,429,430,429,430,429,428,428,429,429,428,430,429,428,429,428,430,428,430,428,428,429,430,428,429,428,429,429,430,430,429,429,429,429,430,429
429,429,429,428,430,429,429,429,430,429,430,430,429,430,429,430,430,429,430,429,429,428,430,428,429,430,429,429,429,429,429,430,429,431,430,429,430,430,429,429,430,430,430,430,430,431,429,430,430,429,429,431,429,429,429,429,429,429,429,430
430,429,431,429,431,429,428,430,429,430,429,429,429,429,429,428,431,429,428,429,428,429,428,429,429,429,429,429,429,429,429,428,430,429,429,429,430,429,429,429,428,429,428,429,430,429,430,429,429,429,430,429,430,429,429,429,429,428,430,429
430,428,429,429,429,429,429,430,429,429,429,429,429,429,429,430,428,430,430,430,428,429,429,429,430,429,428,429,429,429,429,429,430,429,430,428,429,429,429,429,429,429,430,428,429,429,429,428,429,429,428,429,429,429,430,429,430,429,429,429
428,428,429,429,429,428,430,429,428,428,429,429,430,428,430,429,428,429,429,429,429,429,428,429,428,429,429,429,430,429,429,429,430,428,429,429,429,429,428,429,428,429,428,429,428,429,429,429,429,430,428,429,429,429,428,428,428,428,429,429
429,428,430,429,429,428,429,430,429,430,428,429,428,429,428,429,429,428,429,429,429,429,428,428,429,430,428,430,429,429,430,428,430,428,430,431,429,429,429,430,429,429,429,430,429,429,428,429,428,429,429,429,429,428,430,429,429,429,428,429
429,428,429,429,428,428,430,428,429,428,429,428,430,429,428,430,429,428,429,428,429,429,428,430,428,429,428,428,428,430,428,429,429,428,429,428,429,429,429,429,429,429,428,430,430,429,429,428,428,430,430,429,428,429,429,428,429,428,430,429
429,429,429,429,429,428,429,429,429,429,430,429,428,429,429,429,430,428,429,429,429,428,429,429,428,430,428,429,428,430,428,429,428,429,429,428,429,428,428,429,429,428,429,429,429,430,428,430,430,428,429,430,428,430,428,430,430,428,429,428
429,429,429,429,429,429,429,430,429,429,428,429,429,429,429,429,429,429,430,428,428,429,430,428,428,429,429,429,429,428,429,428,429,429,429,430,428,429,430,429,429,429,429,429,428,429,429,428,429,430,429,428,430,430,430,429,429,429,429,429
428,429,428,429,428,428,429,429,428,428,429,428,428,429,428,428,429,428,429,428,428,428,428,428,428,429,428,429,428,429,430,430,428,430,428,429,429,428,429,428,429,428,429,428,429,429,428,429,428,428,429,429,430,429,430,429,428,428,429,428
429,430,429,428,430,429,429,428,429,428,430,429,428,429,429,429,429,430,430,429,428,428,428,428,429,428,429,429,429,430,429,428,429,428,429,428,429,429,428,429,429,430,429,429,428,428,429,429,429,429,429,428,429,428,429,428,428,428,429,429
429,429,429,429,428,428,429,429,428,428,429,429,429,428,428,429,429,428,430,430,430,430,429,430,429,428,430,428,429,429,429,429,429,428,428,428,428,430,428,428,429,429,429,428,429,429,429,429,429,429,429,428,429,428,428,429,429,428,430,428
428,429,428,429,429,429,430,429,428,428,429,428,429,429,428,428,429,429,429,428,429,429,429,429,429,429,428,429,428,429,428,429,429,428,429,429,429,428,428,429,428,429,429,429,430,429,429,428,429,428,428,428,429,429,428,428,429,428,429,428
428,428,429,428,428,429,429,429,428,429,428,429,428,429,428,428,430,429,429,429,429,429,430,428,428,429,429,428,429,429,428,429,429,429,429,429,429,428,428,428,430,428,430,428,429,429,429,429,429,430,429,429,430,428,429,428,429,429,429,428
